2019-09-30 02:03:36 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=4, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052732475340708 }', details={}}]. 
2019-09-30 02:03:40 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=42, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052738237366288 }', details={}}]. 
2019-09-30 02:03:45 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=10, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052742198770076 }', details={}}]. 
2019-09-30 02:03:53 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=14, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052745913967840 }', details={}}]. 
2019-09-30 02:03:59 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=9, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052755227715364 }', details={}}]. 
2019-09-30 02:04:24 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=6, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052764380559280 }', details={}}]. 
2019-09-30 02:04:30 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=10, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052788503184884 }', details={}}]. 
2019-09-30 02:04:36 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=3, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052793868405308 }', details={}}]. 
2019-09-30 02:04:46 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=7, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052799567659948 }', details={}}]. 
2019-09-30 02:05:12 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=10, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052814731298956 }', details={}}]. 
2019-09-30 02:05:41 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=8, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052845061251808 }', details={}}]. 
2019-09-30 02:06:09 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=5, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052873685140072 }', details={}}]. 
2019-09-30 02:06:34 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=2, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052901228089252 }', details={}}]. 
2019-09-30 02:07:02 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=8, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052929732638236 }', details={}}]. 
2019-09-30 02:07:29 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=4, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052958764675144 }', details={}}]. 
2019-09-30 02:07:58 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=10, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052988746640856 }', details={}}]. 
2019-09-30 02:23:44 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=0, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1 }', details={}}]. 
2019-09-30 02:24:55 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=0, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1 }', details={}}]. 
2019-09-30 02:28:39 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=0, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1 }', details={}}]. 
2019-09-30 11:12:48 - $and/$or/$nor must be a nonempty array
2019-09-30 11:12:48 - $and/$or/$nor must be a nonempty array
2019-09-30 11:12:48 - $and/$or/$nor must be a nonempty array
